 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,Segmented,285,62.184,20.458,17.738,70.284,0.926,1.153,0.867,0.938
2,Segmented,81,32.385,11.144,9.254,68.827,0.971,1.204,0.830,0.926
3,Segmented,278,63.941,22.171,15.965,85.153,0.854,1.389,0.720,0.919
4,Segmented,231,55.698,18.316,16.058,79.994,0.936,1.141,0.877,0.941
5,Segmented,501,82.669,26.184,24.362,71.852,0.921,1.075,0.930,0.948
6,Segmented,660,98.326,33.520,25.070,57.641,0.858,1.337,0.748,0.952
7,Segmented,99,35.799,12.650,9.965,70.999,0.971,1.269,0.788,0.943
8,Segmented,228,55.698,18.208,15.943,92.820,0.924,1.142,0.876,0.940
9,Segmented,448,78.426,26.243,21.736,96.428,0.915,1.207,0.828,0.947
10,Segmented,401,87.497,35.718,14.294,67.394,0.658,2.499,0.400,0.890
11,Segmented,520,84.669,27.975,23.667,71.086,0.912,1.182,0.846,0.952
12,Segmented,425,77.841,28.018,19.314,71.220,0.881,1.451,0.689,0.953
13,Segmented,271,62.184,21.564,16.001,72.699,0.881,1.348,0.742,0.922
14,Segmented,159,46.284,15.748,12.856,70.553,0.933,1.225,0.816,0.930
15,Segmented,412,75.598,24.085,21.780,99.224,0.906,1.106,0.904,0.945
16,Segmented,426,87.497,31.332,17.311,17.588,0.699,1.810,0.553,0.869
17,Segmented,260,59.941,19.541,16.941,87.838,0.909,1.153,0.867,0.932
18,Segmented,289,62.770,20.402,18.035,62.012,0.922,1.131,0.884,0.935
19,Segmented,676,104.326,35.721,24.095,166.249,0.780,1.483,0.675,0.909
20,Segmented,361,70.184,23.700,19.394,172.832,0.921,1.222,0.818,0.945
21,Segmented,545,86.912,29.151,23.805,79.568,0.907,1.225,0.817,0.949
22,Segmented,610,112.569,46.202,16.811,64.394,0.605,2.748,0.364,0.848
23,Segmented,14,12.485,4.264,4.181,2.771E-13,1.000,1.020,0.981,0.933
24,Segmented,641,106.569,39.749,20.532,122.641,0.709,1.936,0.517,0.884
25,Segmented,195,51.113,16.878,14.711,92.741,0.938,1.147,0.872,0.929
26,Segmented,593,89.255,28.682,26.324,172.688,0.935,1.090,0.918,0.960
27,Segmented,902,132.225,53.764,21.361,77.056,0.648,2.517,0.397,0.908
28,Segmented,239,57.113,19.215,15.837,79.091,0.921,1.213,0.824,0.939
29,Segmented,167,48.042,16.565,12.836,70.843,0.909,1.291,0.775,0.933
30,Segmented,413,76.770,26.886,19.559,41.676,0.881,1.375,0.727,0.951
31,Segmented,415,77.598,25.660,20.592,62.314,0.866,1.246,0.802,0.937
32,Segmented,244,57.941,18.800,16.525,71.912,0.913,1.138,0.879,0.930
33,Segmented,377,72.527,24.839,19.325,94.266,0.901,1.285,0.778,0.952
34,Segmented,652,94.426,30.423,27.287,92.954,0.919,1.115,0.897,0.962
35,Segmented,379,72.184,23.543,20.497,47.872,0.914,1.149,0.871,0.948
36,Segmented,578,89.012,27.802,26.471,167.925,0.917,1.050,0.952,0.956
37,Segmented,170,47.698,17.145,12.625,73.152,0.939,1.358,0.736,0.932
38,Segmented,472,89.255,35.028,17.157,106.940,0.745,2.042,0.490,0.922
39,Segmented,613,94.225,32.504,24.012,130.242,0.868,1.354,0.739,0.942
40,Segmented,543,86.669,30.212,22.884,104.040,0.908,1.320,0.757,0.953
41,Segmented,555,87.255,27.539,25.660,168.940,0.916,1.073,0.932,0.954
42,Segmented,858,113.740,41.339,26.426,173.175,0.833,1.564,0.639,0.949
43,Segmented,281,62.770,21.747,16.452,90.261,0.896,1.322,0.756,0.927
44,Segmented,215,54.527,18.916,14.472,76.376,0.909,1.307,0.765,0.929
45,Segmented,3,5.657,2.365,1.615,45.000,1.000,1.464,0.683,0.857
46,Segmented,1,2.828,1.128,1.128,0.000,1.000,1.000,1.000,1.000
