 ,Label,Area,Perim.,Circ.,AR,Round,Solidity
1,blobs.gif,285,62.184,0.926,1.153,0.867,0.938
2,blobs.gif,81,32.385,0.971,1.204,0.830,0.926
3,blobs.gif,278,63.941,0.854,1.389,0.720,0.919
4,blobs.gif,231,55.698,0.936,1.141,0.877,0.941
5,blobs.gif,501,82.669,0.921,1.075,0.930,0.948
6,blobs.gif,660,98.326,0.858,1.337,0.748,0.952
7,blobs.gif,99,35.799,0.971,1.269,0.788,0.943
8,blobs.gif,228,55.698,0.924,1.142,0.876,0.940
9,blobs.gif,448,78.426,0.915,1.207,0.828,0.947
10,blobs.gif,401,87.497,0.658,2.499,0.400,0.890
11,blobs.gif,520,84.669,0.912,1.182,0.846,0.952
12,blobs.gif,425,77.841,0.881,1.451,0.689,0.953
13,blobs.gif,271,62.184,0.881,1.348,0.742,0.922
14,blobs.gif,159,46.284,0.933,1.225,0.816,0.930
15,blobs.gif,412,75.598,0.906,1.106,0.904,0.945
16,blobs.gif,426,87.497,0.699,1.810,0.553,0.869
17,blobs.gif,260,59.941,0.909,1.153,0.867,0.932
18,blobs.gif,289,62.770,0.922,1.131,0.884,0.935
19,blobs.gif,676,104.326,0.780,1.483,0.675,0.909
20,blobs.gif,361,70.184,0.921,1.222,0.818,0.945
21,blobs.gif,545,86.912,0.907,1.225,0.817,0.949
22,blobs.gif,610,112.569,0.605,2.748,0.364,0.848
23,blobs.gif,641,106.569,0.709,1.936,0.517,0.884
24,blobs.gif,195,51.113,0.938,1.147,0.872,0.929
25,blobs.gif,593,89.255,0.935,1.090,0.918,0.960
26,blobs.gif,902,132.225,0.648,2.517,0.397,0.908
27,blobs.gif,239,57.113,0.921,1.213,0.824,0.939
28,blobs.gif,167,48.042,0.909,1.291,0.775,0.933
29,blobs.gif,413,76.770,0.881,1.375,0.727,0.951
30,blobs.gif,415,77.598,0.866,1.246,0.802,0.937
31,blobs.gif,244,57.941,0.913,1.138,0.879,0.930
32,blobs.gif,377,72.527,0.901,1.285,0.778,0.952
33,blobs.gif,652,94.426,0.919,1.115,0.897,0.962
34,blobs.gif,379,72.184,0.914,1.149,0.871,0.948
35,blobs.gif,578,89.012,0.917,1.050,0.952,0.956
36,blobs.gif,170,47.698,0.939,1.358,0.736,0.932
37,blobs.gif,472,89.255,0.745,2.042,0.490,0.922
38,blobs.gif,613,94.225,0.868,1.354,0.739,0.942
39,blobs.gif,543,86.669,0.908,1.320,0.757,0.953
40,blobs.gif,555,87.255,0.916,1.073,0.932,0.954
41,blobs.gif,858,113.740,0.833,1.564,0.639,0.949
42,blobs.gif,281,62.770,0.896,1.322,0.756,0.927
43,blobs.gif,215,54.527,0.909,1.307,0.765,0.929
