 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,spheres-2.tif,531,255,84.083,0.944,1.012,0.988,0.958
2,spheres-2.tif,542,255,85.497,0.932,1.015,0.986,0.956
3,spheres-2.tif,416,255,73.841,0.959,1.010,0.991,0.954
4,spheres-2.tif,598,255,88.326,0.963,1.016,0.984,0.965
5,spheres-2.tif,537,255,84.669,0.941,1.008,0.992,0.957
6,spheres-2.tif,607,255,88.669,0.970,1.004,0.996,0.970
7,spheres-2.tif,740,255,99.397,0.941,1.008,0.992,0.961
8,spheres-2.tif,738,255,99.397,0.939,1.005,0.995,0.961
9,spheres-2.tif,670,255,95.154,0.930,1.019,0.981,0.956
10,spheres-2.tif,596,255,88.326,0.960,1.063,0.940,0.963
11,spheres-2.tif,669,255,94.912,0.933,1.011,0.989,0.960
12,spheres-2.tif,743,255,99.983,0.934,1.001,0.999,0.959
13,spheres-2.tif,603,255,89.154,0.953,1.003,0.997,0.960
14,spheres-2.tif,542,255,85.497,0.932,1.016,0.984,0.956
15,spheres-2.tif,541,255,85.497,0.930,1.013,0.987,0.955
16,spheres-2.tif,598,255,88.326,0.963,1.016,0.984,0.965
17,spheres-2.tif,536,255,84.669,0.940,1.005,0.995,0.955
18,spheres-2.tif,534,255,84.669,0.936,1.004,0.996,0.957
19,spheres-2.tif,476,255,81.255,0.906,1.012,0.988,0.944
20,spheres-2.tif,671,255,95.154,0.931,1.021,0.979,0.958
21,spheres-2.tif,680,255,95.983,0.928,1.000,1.000,0.952
22,spheres-2.tif,534,255,84.669,0.936,1.011,0.990,0.957
23,spheres-2.tif,603,255,89.154,0.953,1.006,0.994,0.959
24,spheres-2.tif,472,255,79.841,0.930,1.016,0.985,0.951
25,spheres-2.tif,420,255,74.669,0.947,1.018,0.982,0.950
26,spheres-2.tif,537,255,86.326,0.906,1.000,1.000,0.950
27,spheres-2.tif,535,255,84.083,0.951,1.010,0.990,0.960
28,spheres-2.tif,421,255,74.426,0.955,1.012,0.988,0.955
29,spheres-2.tif,734,255,99.983,0.923,1.007,0.993,0.956
30,spheres-2.tif,536,255,84.326,0.947,1.027,0.974,0.957
31,spheres-2.tif,532,255,83.841,0.951,1.028,0.973,0.964
32,spheres-2.tif,530,255,83.497,0.955,1.004,0.996,0.960
33,spheres-2.tif,597,255,89.154,0.944,1.024,0.976,0.954
34,spheres-2.tif,672,255,94.912,0.937,1.008,0.992,0.961
