Part Number,Description,Unit,Price
62-132,"Carbon Rods, 1/8 in dia. x 2-3/8 in L (3 x 60.3mm), neck tip, single point",pkg/50, $70.00  
683-01A,"Pelcotec CDMS-0.1T, 2mm - 100nm, traceable, Mount A",ea,$385.50 
01811,"Carbon Type-B, 200 mesh, Copper approx. grid hole size: 97 micron",pkg/100,$191.00
5367-2NM,"PELCO Pro High Precision, very sharp, fine tips, style 3",ea,$21.20 
16008,"4"" (10cm) dia., 5 x 5mm diced Silicon Wafer, 270 chips/wafer",ea,$76.90 
16031,"PELCO Colloidal Silver, 30g",ea,$71.25 
16084-7,"Carbon Conductive Tape, 12mm W x 5m L",ea,$63.50 
16104,Low Profile 45 / 90 Mount. Order 100 at a time.,ea,$3.00 
16144,25.4 mm diam Al stub,pkg/100 ,$150.00
61050, "50 micron Type B Platinum-Iridium aperture",ea, $65.50
