t.C.nm, C.Int.mu,  C.Int.unc, Si.Int.mu, Si.Int.unc
0.000,32.040,1.130,5961.270,15.440
5.000,186.780,2.730,5746.270,15.160
10.000,354.770,3.770,5708.470,15.110
15.000,507.480,5.040,5520.950,14.860
20.000,701.160,5.300,5458.150,14.780
25.000,900.000,6.000,5263.500,14.510
30.000,1062.310,6.520,5106.630,14.290
35.000,1263.910,7.110,4913.150,14.550
40.000,1442.840,7.600,4858.740,13.940
45.000,1620.180,8.510,4653.860,14.240
50.000,1853.910,8.610,4514.370,13.440
55.000,2047.350,9.050,4358.550,14.020
60.000,2201.600,9.380,4187.330,12.940
65.000,2400.390,9.800,4095.260,12.800
70.000,2576.320,10.150,3936.460,12.550
75.000,2805.620,10.590,3796.920,12.320
80.000,2926.090,10.820,3681.780,12.140
85.000,3124.940,11.180,3527.100,11.880
90.000,3408.890,11.680,3284.200,12.130
95.000,3533.840,12.360,3213.350,11.340
100.000,3739.550,12.230,3037.020,11.020
